log2FoldChange	ENTREZID	SYMBOL
3.39276064627879	4493	MT1E
1.46996166171742	51586	MED15
2.49899480993022	57169	ZNFX1
8.33799538237378	6347	CCL2
3.0637404430302	1267	CNP
3.20815654032724	81894	SLC25A28
6.68162575079673	7127	TNFAIP2
2.40024044596179	9491	PSMF1
5.11959052864868	1520	CTSS
6.77627386993342	4940	OAS3
4.38872019581572	9388	LIPG
5.26041795039262	2643	GCH1
1.47682935253139	54467	ANKIB1
-1.8302659613003	48	ACO1
6.72021133698296	23037	PDZD2
8.46054286495688	7412	VCAM1
6.24632158655674	400759	GBP1P1
6.71209529383066	129607	CMPK2
-1.22341072831274	9829	DNAJC6
6.2652969566092	2635	GBP3
8.59607973830677	115362	GBP5
2.71124536463913	131601	TPRA1
7.26816913705284	3434	IFIT1
1.69409435928839	54464	XRN1
4.79928861350656	6890	TAP1
-1.46983500157529	1026	CDKN1A
3.27927530126385	7453	WARS
1.81083409392213	8935	SKAP2
3.15689783614593	4794	NFKBIE
5.16695634956405	24138	IFIT5
2.92931091135941	5371	PML
1.38553833490638	253260	RICTOR
3.58700686804503	3105	HLA-A
3.60766852612065	127544	RNF19B
2.24373336627827	54877	ZCCHC2
6.33464725242861	4939	OAS2
5.58632038842672	55337	C19orf66
5.56526635807757	400823	FAM177B
1.13155416938701	7511	XPNPEP1
2.20551813612406	11044	PAPD7
2.8098078008061	10410	IFITM3
1.73124153978783	960	CD44
3.15086987357543	7706	TRIM25
8.01686001267913	94240	EPSTI1
2.9000507868306	5721	PSME2
1.32494217900785	81603	TRIM8
1.33654344219847	6774	STAT3
2.230911581724	5634	PRPS2
2.35840862790177	3460	IFNGR2
-1.90703067332172	23230	VPS13A
-1.94623549982584	10493	VAT1
2.02131113896479	55213	RCBTB1
2.94358258423848	5610	EIF2AK2
-1.92218863862992	51765	STK26
-3.00205368443875	22866	CNKSR2
-1.55093910253482	64418	TMEM168
-1.18988794703132	112	ADCY6
3.06346208264477	3726	JUNB
2.97467881561965	51251	NT5C3A
2.43602703822343	4791	NFKB2
2.68638022476563	23338	JADE2
1.46894926835681	7114	TMSB4X
2.43557803831883	135112	NCOA7
0.758150734701976	23214	XPO6
2.44135616503295	10133	OPTN
3.53172013291629	11082	ESM1
1.875609823044	8763	CD164
3.69030930490495	3134	HLA-F
2.0525115002417	57476	GRAMD1B
1.44454001698003	3735	KARS
1.80569352075639	103	ADAR
4.88274816028587	1435	CSF1
8.13272520822595	91543	RSAD2
5.21036771373816	79651	RHBDF2
-1.64752764911557	57182	ANKRD50
1.44140549066961	11043	MID2
2.02261122678673	54726	OTUD4
1.79039865584923	55802	DCP1A
1.67294557499214	22	ABCB7
-1.7793939499736	27250	PDCD4
5.39181365477485	5699	PSMB10
1.21956454065979	65056	GPBP1
8.01734328746367	3800	KIF5C
-1.09973893240128	178	AGL
3.42290486710101	83666	PARP9
2.58799217603577	27286	SRPX2
1.83187226499651	55785	FGD6
5.80936801963686	219285	SAMD9L
3.49380589964992	8837	CFLAR
1.54750775907477	81502	HM13
-0.813664653068632	2909	ARHGAP35
1.16480500753238	55573	CDV3
7.20047152297173	10673	TNFSF13B
1.65506740122026	7314	UBB
-1.28472033829556	66008	TRAK2
3.85265784422402	80149	ZC3H12A
-1.91389014414408	157680	VPS13B
7.26113577242941	55008	HERC6
1.99533927751438	2580	GAK
-2.17795993565061	1277	COL1A1
5.02873753650821	3976	LIF
3.19295224684774	64332	NFKBIZ
1.31296103854929	3320	HSP90AA1
4.09478326887321	5971	RELB
1.46503744760167	5872	RAB13
1.56209519647608	7170	TPM3
7.37402962451406	51191	HERC5
-1.56515066619827	6786	STIM1
-1.9941236092	862	RUNX1T1
5.89836836218466	10346	TRIM22
2.12277747241261	1540	CYLD
1.68190993337885	9334	B4GALT5
-1.21790578110643	10123	ARL4C
2.43319074954732	5720	PSME1
1.62950134086412	7424	VEGFC
1.83246995130547	10869	USP19
-2.01829348637721	2273	FHL1
1.32711313629008	51479	ANKFY1
-1.70285688990126	5587	PRKD1
1.67176675941535	6536	SLC6A9
-1.31399490948773	4642	MYO1D
2.26398469244686	2180	ACSL1
-0.938994610135883	9778	KIAA0232
1.80363007412847	6643	SNX2
2.41781077193534	231	AKR1B1
1.40998784353197	950	SCARB2
3.91201029961906	80216	ALPK1
3.82883728867002	340061	TMEM173
-1.93650169451846	84216	TMEM117
7.51603470498346	439996	IFIT1B
1.84585959215937	23189	KANK1
0.946956432441513	5879	RAC1
-1.03604254561091	6857	SYT1
3.00622097666766	10019	SH2B3
1.91679293862758	6646	SOAT1
2.7564693979927	1674	DES
1.75639428232157	112399	EGLN3
1.10538559529421	3312	HSPA8
2.68165984492565	10318	TNIP1
2.22301670752027	4609	MYC
1.55865836904875	10312	TCIRG1
3.76912259016368	58472	SQRDL
-1.10237778286659	440275	EIF2AK4
1.29238186466473	4144	MAT2A
1.23904299219657	65264	UBE2Z
3.13538719588167	85025	TMEM60
5.20360906386764	3552	IL1A
3.97189176135075	2634	GBP2
-1.27632315263764	9581	PREPL
5.91834848032273	7098	TLR3
-2.7060117275746	139818	DOCK11
1.77785751783975	9958	USP15
-1.24646605021604	29968	PSAT1
1.89323448400158	5939	RBMS2
1.66937133809242	144455	E2F7
-0.85148807346376	84668	FAM126A
1.02937011469951	84888	SPPL2A
2.25507338020634	472	ATM
1.82412371076941	3964	LGALS8
2.55425921281647	8548	BLZF1
6.46885755113869	56300	IL36G
3.23762384788489	65078	RTN4R
0.93684158467767	3301	DNAJA1
6.08256325178699	3669	ISG20
1.46943760705655	3097	HIVEP2
2.02970341368402	2114	ETS2
3.40477611673086	9111	NMI
1.42900831990318	84950	PRPF38A
-1.61906693132902	1303	COL12A1
1.62704530560953	9592	IER2
5.51828903303561	5055	SERPINB2
1.18004021499147	11245	GPR176
1.46324218667788	55014	STX17
-0.86682702178241	8905	AP1S2
-0.877369940381212	8672	EIF4G3
6.1054723466804	54329	GPR85
-0.945763758196643	23095	KIF1B
1.09187371705189	4170	MCL1
1.8772353847396	2247	FGF2
1.32532497847338	57194	ATP10A
2.15078593588793	9086	EIF1AY
2.23113564879313	51131	PHF11
3.19776686704747	22898	DENND3
-1.42432286897984	7267	TTC3
-0.904679878107303	25938	HEATR5A
-1.21411964879665	1954	MEGF8
1.92235994305439	4683	NBN
2.97831955564221	4998	ORC1
1.49825662880992	23597	ACOT9
1.41868200953304	84230	LRRC8C
1.12368485772939	9725	TMEM63A
3.94214516991263	8743	TNFSF10
2.29999966436539	140885	SIRPA
0.961826825336812	55214	P3H2
1.12049875806942	5376	PMP22
-1.14726581315973	10277	UBE4B
1.98551327069149	9589	WTAP
-1.12442753034213	79573	TTC13
1.61971931889092	8805	TRIM24
1.68835472986465	29117	BRD7
2.81132017792355	7097	TLR2
2.37763912285335	573	BAG1
6.78391626281298	330	BIRC3
2.52903833924158	3428	IFI16
1.14987983440701	29110	TBK1
-1.05918043032288	84947	SERAC1
